SYMBOL,DATE,OPEN,HIGH,LOW,VOLUME,CLOSE
PPL,5/23/2012,188,188.5,185,535852,186.57
PPL,5/24/2012,187,190.74,186.55,1130716,188.62
PPL,5/25/2012,188.5,190,187,260964,187.36
PPL,5/28/2012,187.9,192,187.9,897791,190.96
PPL,5/29/2012,191.7,193.9,190.8,1546949,192.8
PPL,5/30/2012,193.8,198.99,191.5,2766237,193.42
PPL,5/31/2012,194.1,196.5,191.61,2019650,194.04
PPL,6/1/2012,194,197.19,194,610966,194.27
PPL,6/4/2012,196,196.1,190,720437,190.6
PPL,6/5/2012,191.11,191.35,186.4,1311526,187.5
PPL,6/6/2012,187.51,189.8,187,364222,187.55
PPL,6/7/2012,188.5,188.99,185.9,307893,186.64
PPL,6/8/2012,187.85,187.85,183,740627,184.34
PPL,6/11/2012,185.6,186.97,184.7,190570,186.7
PPL,6/12/2012,185.65,186.5,182.01,456400,182.84
PPL,6/13/2012,183.22,184.5,181.8,275499,182.89
PPL,6/14/2012,182.89,186.89,182.89,347982,186.27
PPL,6/15/2012,186.55,188.99,184.4,533737,186
PPL,6/18/2012,186.9,189.01,186.7,289116,188.01
PPL,6/19/2012,187.1,188.7,186.56,256676,188.18
PPL,6/20/2012,187.15,188.68,186.5,64435,186.81
PPL,6/21/2012,186.81,187.88,186.05,42645,186.57
PPL,6/22/2012,187,188.25,185.8,233951,187.56
PPL,6/25/2012,188.95,188.95,187.1,40199,187.14
PPL,6/26/2012,187.11,188.25,184.5,345282,185.43
PPL,6/27/2012,185.4,189.5,184.9,347562,188.51
PPL,6/28/2012,188.51,189.97,187.7,215402,188.33
PPL,6/29/2012,187.8,189,187.1,216628,188.29
PPL,7/2/2012,188.75,193.8,188.75,464497,193.48
PPL,7/3/2012,192.99,194.55,191.32,422859,194.03
PPL,7/4/2012,195.5,196.99,192.2,775904,192.67
PPL,7/5/2012,192.67,195.8,192.52,252531,195.49
PPL,7/6/2012,195.5,196.8,195.45,345033,196.35
PPL,7/10/2012,196.4,198.99,196,383500,196.48
PPL,7/11/2012,197.4,197.89,196,116065,196.87
PPL,7/12/2012,196,198.5,195,684116,195.11
PPL,7/13/2012,195.99,196,192.05,336491,193.08
PPL,7/16/2012,194.8,196.1,194.1,256356,194.65
